Ano de Edição,Colaborador,Editora,ISBN,Ano,Edição,Origem,Formato,Encadernação,Idioma,País,Páginas,preço,nome,categoria
2002.0,"Autor:KLADSTRUP, DON|Autor:KLADSTRUP, PETIE",ZAHAR -,8571106436,2002.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,256.0,72.9,VINHO & GUERRA,História
2017.0,"Autor:LOURENÇO, ELOAH",OUTRO PLANETA,8542210417,2017.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,144.0,35.9,ELOAH CONTRA A RAINHA TEDIOSA,Teen
2015.0,"Tradutor:SUASSUNA, EDMO|Autor:MATHARU, TARAN",GALERA RECORD,8501105775,2015.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,350.0,49.9,CONJURADOR: O APRENDIZ (VOL. 1),Teen
2019.0,"Autor:GOBEL, ANNA",AUTÊNTICA INFANTIL,855130626X,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,46.0,44.9,UMA FESTA DE CORES - BROCHURA,Teen
2020.0,"Autor:COLLINS, SUZANNE|Tradutor:WINARSKI, REGIANE",ROCCO JOVENS LEITORE,6556670006,2020.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,576.0,46.12,A CANTIGA DOS PÁSSAROS E DAS SERPENTES,Teen
2000.0,"Autor:JORGE, MARCO ANTONIO COUTINHO",ZAHAR -,8571105545,2000.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,196.0,72.9,FUNDAMENTOS DA PSICANÁLISE DE FREUD A LACAN - VOL. 1,Psicologia
2016.0,"Autor:PACHECO, WILSON",CHIADO BRASIL,9895167652,2016.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,208.0,30.0,O PEREGRINO DE SANTIAGO DE COMPOSTELA,História
2011.0,"Autor:RIORDAN, RICK|Tradutor:PEIXOTO, RODRIGO",INTRINSECA,8580570085,2011.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,440.0,59.9,O HERÓI PERDIDO,Teen
2014.0,"Autor:PRADO, MARIA LIGIA|Autor:PELLEGRINO, GABRIELA",CONTEXTO,8572448322,2014.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,208.0,39.9,HISTÓRIA DA AMÉRICA LATINA,História
2013.0,"Organizador:GONÇALVES, ADELAIDE|Organizador:NOGUEIRA, ANTONIO GILBERTO RAMOS",HUCITEC EDITORA,8564806959,2013.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,251.0,121.0,CAIO PRADO JR,História
2019.0,"Autor:REIS, JOAO JOSE",COMPANHIA DAS LETRAS,8535932437,2019.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,456.0,102.9,GANHADORES,História
2012.0,"Autor:HOBSBAWM, ERIC J.|Tradutor:PENCHEL, MARCUS|Tradutor:TEIXEIRA, MARIA L.",PAZ E TERRA,857753099X,2012.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,532.0,79.9,A ERA DAS REVOLUÇÕES,História
2008.0,"Autor:MARTINS, ANA LUIZA",CONTEXTO,8572443770,2008.0,1.0,Nacional,LIVRO,BROCHURA,PORTUGUÊS,BRASIL,318.0,89.9,HISTÓRIA DO CAFÉ,História
