Editora,ISBN,Ano,Edição,Origem,Encadernação,Idioma,País,Páginas,preço,nome,categoria,Autores
GALERA RECORD,8501081892,2012,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,304,34.9,GREGOR E AS MARCAS SECRETAS (VOL. 4),TEEN,SUZANNE COLLINS
RECORD,8501915505,1982,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,176,34.9,O MENINO NO ESPELHO,TEEN,FERNANDO SABINO
MELHORAMENTOS,8506083699,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,6,39.0,PRINCESAS - HORA DO BANHO,TEEN,MELHORAMENTOS
SEGUINTE,8555340896,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,320,39.9,CONECTADAS,TEEN,CLARA ALVES
HOO EDITORA,8593911072,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,336,39.9,HISTÓRIA É TUDO QUE ME DEIXOU,TEEN,ADAM SILVERA
COMPANHIA DE BOLSO,8535918809,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,37.9,IDADE MÉDIA IDADE DOS HOMENS,HISTÓRIA,GEORGES DUBY
ZAHAR,8571106436,2002,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,256,72.9,VINHO & GUERRA,HISTÓRIA,DON KLADSTRUP; PETIE KLADSTRUP
JOHN WILEY TRADE,0470550910,2011,1,IMPORTADO,CAPA DURA,INGLÊS,ESTADOS UNIDOS,256,197.8,PICK YOUR POISON,HISTÓRIA,MONONA ROSSOL
OUTRO PLANETA,8542210417,2017,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,144,35.9,ELOAH CONTRA A RAINHA TEDIOSA,TEEN,ELOAH LOURENÇO
GLOBAL EDITORA,8526025031,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,768,38.92,"DICIONÁRIO BÁSICO INGLÊS–PORTUGUÊS, PORTUGUÊS–INGLÊS",DICIONÁRIOS,GLOBAL EDITORA
COM ARTE,8571661626,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,288,54.0,"MUNDO COBERTO DE JOVENS, UM",HISTÓRIA,BENJAMIN ABDALA JR
GALERA RECORD,8501105775,2015,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,350,49.9,CONJURADOR: O APRENDIZ (VOL. 1),TEEN,TARAN MATHARU
AUTÊNTICA INFANTIL,855130626X,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,46,44.9,UMA FESTA DE CORES - BROCHURA,TEEN,ANNA GOBEL
ROCCO JOVENS LEITORE,6556670006,2020,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,576,46.12,A CANTIGA DOS PÁSSAROS E DAS SERPENTES,TEEN,SUZANNE COLLINS
ZAHAR,8571105545,2000,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,196,72.9,FUNDAMENTOS DA PSICANÁLISE DE FREUD A LACAN - VOL. 1,PSICOLOGIA,MARCO ANTONIO COUTINHO JORGE
CHIADO BRASIL,9895167652,2016,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,208,30.0,O PEREGRINO DE SANTIAGO DE COMPOSTELA,HISTÓRIA,WILSON PACHECO
INTRINSECA,8580570085,2011,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,440,59.9,O HERÓI PERDIDO,TEEN,RICK RIORDAN
CONTEXTO,8572448322,2014,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,208,39.9,HISTÓRIA DA AMÉRICA LATINA,HISTÓRIA,GABRIELA PELLEGRINO; MARIA LIGIA PRADO
BIBLIOLIFE,1103196081,2009,1,IMPORTADO,BROCHURA,INGLÊS,ESTADOS UNIDOS,364,199.3,"FEDERALISMO ARGENTINO, EL",HISTÓRIA,FRANCISCO RAMOS MEJA
HUCITEC EDITORA,8564806959,2013,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,251,121.0,CAIO PRADO JR,HISTÓRIA,DESCONHECIDO
COMPANHIA DAS LETRAS,8535932437,2019,1,NACIONAL,BROCHURA,PORTUGUÊS,BRASIL,456,102.9,GANHADORES,HISTÓRIA,JOAO JOSE REIS
